cpc,service_name,tme_category,cpc_period,cpc_price
893,La Gruta del Sexo,Light,7,2.99
928,Gofresh logos,Images,30,2.0
3109,MoviMessenger,Free Time,30,
3141,Contactos,Free Time,30,
4091,La Gruta del Sexo,Light,99999,2.5
5645,¿Quedamos?,Free Time,30,
8778,Desc. Gameloft,Games,99999,3.0
9999,,,0,
10004,JCs NightClub,Light,30,2.0
10487,Club música,Music,7,0.99
10494,SolodeLogos Club,Images,30,2.0
11207,Animaciones&Logos,Images,30,2.0
15325,Euroteens,Light,30,10.0
17510,Melodias y Tonos,Music,30,2.0
18157,Top Models,Light,30,3.0
18965,Desc. Gamel5,Games,99999,5.0
19168,DescFondosPrivate,Light,99999,3.0
20508,Desc.Play2Me1,Games,99999,1.0
20510,Desc.Play2Me1.5,Games,99999,1.5
20512,Desc.Play2Me2,Games,99999,2.0
20514,Desc.Play2Me3,Games,99999,3.0
20516,Desc.Play2Me4,Games,99999,4.0
20518,Desc.Play2Me5,Games,99999,5.0
22108,Fondos,Images,99999,1.5
22110,Videos,Images,99999,2.0
22112,Animaciones,Images,99999,1.5
22118,Fondos Branded,Images,99999,1.5
22120,Videos Branded,Images,99999,2.0
22122,Animaciones Brand,Images,99999,1.5
22716,Mundo DV Porno,Light,99999,5.0
22718,Porno Profesional,Light,99999,3.0
23264,Canal Venus,Light,30,6.0
23274,Forman TV,Light,30,6.0
23383,Fantasy Mansion,Light,30,4.0
23386,Wicked TV,Light,30,6.0
23832,Divinas mamás,Light,99999,3.0
23837,Corridas,Light,99999,3.0
23841,Hardcore,Light,99999,3.0
23845,Hentai,Light,99999,3.0
23849,Lesbianas,Light,99999,3.0
23853,Cochinas Latinas,Light,99999,3.0
23923,Casadas,Light,99999,2.0
23925,Casadas,Light,99999,3.0
23927,Jovencitas,Light,99999,2.0
23929,Jovencitas,Light,99999,3.0
23931,Mamadas,Light,99999,2.0
23933,Mamadas,Light,99999,3.0
23935,Ibericas,Light,99999,2.0
23937,Putas,Light,99999,3.0
23939,Sexo en publico,Light,99999,2.0
23941,Follamigos,Light,99999,3.0
24096,MoviSexy,Light,30,5.0
