date|cpc|User_Base
2022-11-14|893|12819
2022-11-14|25609|42
2022-11-14|25814|183
2022-11-14|25828|20
2022-11-14|25857|60
2022-11-14|28428|971
2022-11-14|29158|528
2022-11-14|30088|130
2022-11-14|30710|390
2022-11-14|31036|28
2022-11-14|31192|16
2022-11-14|31581|415
2022-11-14|31690|141
2022-11-14|32680|124
2022-11-14|34394|5
2022-11-14|34409|3050
2022-11-14|34410|1
2022-11-14|34828|2517
2022-11-14|35008|63
2022-11-14|35014|58
2022-11-14|35020|55
2022-11-14|35357|55
2022-11-14|35887|4945
2022-11-14|36211|863
2022-11-14|36268|108
2022-11-14|36394|260
2022-11-14|36649|5
2022-11-14|36827|8843
2022-11-14|37448|2951
2022-11-14|37841|56
2022-11-14|37947|79
2022-11-14|38903|1309
2022-11-14|38904|56
2022-11-14|38941|1836
2022-11-14|38967|214
2022-11-14|39301|15
2022-11-14|39480|1
2022-11-14|39561|1
2022-11-14|39581|31
2022-11-14|39621|9581
2022-11-14|39681|711
2022-11-14|39682|3
2022-11-14|39721|424
2022-11-14|39923|536
2022-11-14|40101|1
2022-11-14|40221|171
2022-11-14|40341|5
2022-11-14|40545|15
2022-11-14|40562|35
2022-11-14|40651|60
2022-11-14|40675|710
2022-11-14|40771|24
2022-11-14|40953|5079
2022-11-14|40962|693
2022-11-14|41029|8178
2022-11-14|41034|40
2022-11-14|41051|17
2022-11-14|41129|1859
2022-11-14|41149|348
2022-11-14|41177|14081
2022-11-14|41181|21664
2022-11-14|41235|670
2022-11-14|41247|59
2022-11-14|41329|22916
2022-11-14|41529|61
2022-11-14|41589|34
2022-11-14|41633|28
2022-11-14|41636|96
2022-11-14|41638|15
2022-11-14|41644|181
2022-11-14|41650|166
2022-11-14|41652|79
2022-11-14|41675|4
2022-11-14|41794|33
2022-11-14|41798|38
2022-11-14|41802|17
2022-11-14|41804|26
2022-11-14|41809|33
2022-11-14|41909|3009
2022-11-14|41949|34265
2022-11-14|42049|7385
2022-11-14|42069|29
2022-11-14|42071|9770
2022-11-14|42073|19
2022-11-14|42076|1492
2022-11-14|42078|10
2022-11-14|42339|3120
2022-11-14|42341|7
2022-11-14|42389|2
2022-11-14|42489|5
2022-11-14|42609|16
2022-11-14|42689|7503
2022-11-14|42709|54
2022-11-14|42911|2926
2022-11-14|43091|12
2022-11-14|43093|13
2022-11-14|43269|10
2022-11-14|43349|82
2022-11-14|43551|9674
2022-11-14|43553|570
2022-11-14|43571|63
2022-11-14|43575|8
2022-11-14|43609|20719
2022-11-14|43611|48
2022-11-14|43613|8635
2022-11-14|43615|22
2022-11-14|43617|18538
2022-11-14|43619|19
2022-11-14|43869|177
2022-11-14|44009|4590
2022-11-14|44051|427
2022-11-14|44169|29
2022-11-14|44409|13225
2022-11-14|44509|468
2022-11-14|44549|1
2022-11-14|44613|4893
2022-11-14|44618|6056
2022-11-14|44620|477
2022-11-14|44629|5854
2022-11-14|44649|5593
2022-11-14|44889|9
2022-11-14|44950|108
2022-11-14|45169|7889
2022-11-14|45300|3296
2022-11-14|45309|51
2022-11-14|45329|1917
2022-11-14|45333|3168
2022-11-14|45335|16430
2022-11-14|45337|2776
2022-11-14|45339|3140
2022-11-14|45341|22
2022-11-14|45343|7597
2022-11-14|45345|777
2022-11-14|45347|15643
2022-11-14|45349|6278
2022-11-14|45351|9655
2022-11-14|45353|59
2022-11-14|45355|285
2022-11-14|45357|3
2022-11-14|45359|49
2022-11-14|45371|51
2022-11-14|45433|13
2022-11-14|45489|1556
2022-11-14|45589|19183
2022-11-14|45629|17
2022-11-14|45631|2340
2022-11-14|45633|31
2022-11-14|45635|2
2022-11-14|45637|396
2022-11-14|45639|24
2022-11-14|45649|3
2022-11-14|45749|23
2022-11-14|45789|3
2022-11-14|45809|29
2022-11-14|45829|1572
2022-11-14|45849|3734
2022-11-14|45889|1100
2022-11-14|46071|2603
2022-11-14|46109|4351
2022-11-14|46111|1
2022-11-14|46189|5
2022-11-14|46191|5
2022-11-14|46229|34
2022-11-14|46231|33
2022-11-15|893|12717
2022-11-15|25609|42
2022-11-15|25814|183
2022-11-15|25828|20
2022-11-15|25857|60
2022-11-15|28428|965
2022-11-15|29158|525
2022-11-15|30088|130
2022-11-15|30710|387
2022-11-15|31036|28
2022-11-15|31192|16
2022-11-15|31581|413
2022-11-15|31690|140
2022-11-15|32680|124
2022-11-15|34394|5
2022-11-15|34409|3028
2022-11-15|34410|1
2022-11-15|34828|2504
2022-11-15|35008|63
2022-11-15|35014|58
2022-11-15|35020|55
2022-11-15|35357|55
2022-11-15|35887|4909
2022-11-15|36211|861
2022-11-15|36268|108
2022-11-15|36394|258
2022-11-15|36649|5
2022-11-15|36827|8807
2022-11-15|37448|2933
2022-11-15|37841|56
2022-11-15|37947|79
2022-11-15|38903|1302
2022-11-15|38904|56
2022-11-15|38941|1812
2022-11-15|38967|210
2022-11-15|39301|15
2022-11-15|39480|1
2022-11-15|39561|1
2022-11-15|39581|30
2022-11-15|39621|9531
2022-11-15|39681|709
2022-11-15|39682|3
2022-11-15|39721|421
2022-11-15|39923|536
2022-11-15|40101|1
2022-11-15|40221|169
2022-11-15|40341|5
2022-11-15|40545|15
2022-11-15|40562|35
2022-11-15|40651|60
2022-11-15|40675|707
2022-11-15|40771|24
2022-11-15|40953|5036
2022-11-15|40962|687
2022-11-15|41029|8135
2022-11-15|41034|40
2022-11-15|41051|16
2022-11-15|41129|1845
2022-11-15|41149|345
2022-11-15|41177|13987
2022-11-15|41181|21559
2022-11-15|41235|663
2022-11-15|41247|59
2022-11-15|41329|22818
2022-11-15|41529|61
2022-11-15|41589|34
2022-11-15|41633|28
2022-11-15|41636|96
2022-11-15|41638|15
2022-11-15|41644|181
2022-11-15|41650|166
2022-11-15|41652|79
2022-11-15|41675|4
2022-11-15|41794|33
2022-11-15|41798|38
2022-11-15|41802|17
2022-11-15|41804|26
2022-11-15|41809|33
2022-11-15|41909|2966
2022-11-15|41949|34149
2022-11-15|42049|7350
2022-11-15|42069|29
2022-11-15|42071|9726
2022-11-15|42073|19
2022-11-15|42076|1480
2022-11-15|42078|10
2022-11-15|42339|3115
2022-11-15|42341|7
2022-11-15|42389|2
2022-11-15|42489|5
2022-11-15|42609|16
2022-11-15|42689|7449
2022-11-15|42709|54
2022-11-15|42911|2898
2022-11-15|43091|12
2022-11-15|43093|13
2022-11-15|43269|10
2022-11-15|43349|82
2022-11-15|43551|9590
2022-11-15|43553|599
2022-11-15|43571|63
2022-11-15|43575|8
2022-11-15|43609|20607
2022-11-15|43611|46
2022-11-15|43613|8571
2022-11-15|43615|22
2022-11-15|43617|18432
2022-11-15|43619|19
2022-11-15|43869|177
2022-11-15|44009|4561
2022-11-15|44051|425
2022-11-15|44169|29
2022-11-15|44409|13141
2022-11-15|44509|467
2022-11-15|44549|1
2022-11-15|44613|4857
2022-11-15|44618|6028
2022-11-15|44620|476
2022-11-15|44629|5819
2022-11-15|44649|5567
2022-11-15|44889|9
2022-11-15|44950|106
2022-11-15|45169|7850
2022-11-15|45300|3279
2022-11-15|45309|51
2022-11-15|45329|1910
2022-11-15|45333|3158
2022-11-15|45335|16321
2022-11-15|45337|2766
2022-11-15|45339|3115
2022-11-15|45341|22
2022-11-15|45343|7569
2022-11-15|45345|772
2022-11-15|45347|15548
2022-11-15|45349|6227
2022-11-15|45351|9567
2022-11-15|45353|59
2022-11-15|45355|284
2022-11-15|45357|3
2022-11-15|45359|49
2022-11-15|45371|51
2022-11-15|45433|12
2022-11-15|45489|1540
2022-11-15|45589|19033
2022-11-15|45629|19
2022-11-15|45631|2423
2022-11-15|45633|31
2022-11-15|45635|3
2022-11-15|45637|396
2022-11-15|45639|23
2022-11-15|45649|3
2022-11-15|45749|23
2022-11-15|45789|2
2022-11-15|45809|29
2022-11-15|45829|1561
2022-11-15|45849|3689
2022-11-15|45889|1091
2022-11-15|46071|2584
2022-11-15|46109|4311
2022-11-15|46111|1
2022-11-15|46189|5
2022-11-15|46191|3
2022-11-15|46229|34
2022-11-15|46231|34
2022-11-16|893|12595
2022-11-16|25609|42
2022-11-16|25814|183
2022-11-16|25828|20
2022-11-16|25857|60
2022-11-16|28428|958
2022-11-16|29158|519
2022-11-16|30088|130
2022-11-16|30710|386
2022-11-16|31036|28
2022-11-16|31192|15
2022-11-16|31581|409
2022-11-16|31690|139
2022-11-16|32680|123
2022-11-16|34394|5
2022-11-16|34409|3003
2022-11-16|34410|2
2022-11-16|34828|2484
2022-11-16|35008|62
2022-11-16|35014|57
2022-11-16|35020|56
2022-11-16|35357|55
2022-11-16|35887|4852
2022-11-16|36211|856
2022-11-16|36268|108
2022-11-16|36394|255
2022-11-16|36649|5
2022-11-16|36827|8720
2022-11-16|37448|2914
2022-11-16|37841|55
2022-11-16|37947|77
2022-11-16|38903|1296
2022-11-16|38904|56
2022-11-16|38941|1796
2022-11-16|38967|209
2022-11-16|39301|15
2022-11-16|39480|1
2022-11-16|39561|1
2022-11-16|39581|30
2022-11-16|39621|9429
2022-11-16|39681|703
2022-11-16|39682|3
2022-11-16|39721|420
2022-11-16|39923|529
2022-11-16|40101|1
2022-11-16|40221|169
2022-11-16|40341|5
2022-11-16|40545|15
2022-11-16|40562|35
2022-11-16|40651|59
2022-11-16|40675|705
2022-11-16|40771|24
2022-11-16|40953|4977
2022-11-16|40962|680
2022-11-16|41029|8085
2022-11-16|41034|40
2022-11-16|41051|16
2022-11-16|41129|1833
2022-11-16|41149|343
2022-11-16|41177|13861
2022-11-16|41181|21376
2022-11-16|41235|656
2022-11-16|41247|58
2022-11-16|41329|22676
2022-11-16|41529|61
2022-11-16|41589|34
2022-11-16|41633|27
2022-11-16|41636|95
2022-11-16|41638|15
2022-11-16|41644|179
2022-11-16|41650|164
2022-11-16|41652|79
2022-11-16|41675|4
2022-11-16|41794|34
2022-11-16|41798|38
2022-11-16|41802|17
2022-11-16|41804|26
2022-11-16|41809|33
2022-11-16|41909|2920
2022-11-16|41949|33932
2022-11-16|42049|7275
2022-11-16|42069|29
2022-11-16|42071|9673
2022-11-16|42073|19
2022-11-16|42076|1468
2022-11-16|42078|10
2022-11-16|42339|3110
2022-11-16|42341|7
2022-11-16|42389|2
2022-11-16|42489|5
2022-11-16|42609|16
2022-11-16|42689|7391
2022-11-16|42709|54
2022-11-16|42911|2868
2022-11-16|43091|12
2022-11-16|43093|13
2022-11-16|43269|10
2022-11-16|43349|80
2022-11-16|43551|9516
2022-11-16|43553|613
2022-11-16|43571|62
2022-11-16|43575|8
2022-11-16|43609|20391
2022-11-16|43611|43
2022-11-16|43613|8478
2022-11-16|43615|22
2022-11-16|43617|18276
2022-11-16|43619|19
2022-11-16|43869|177
2022-11-16|44009|4525
2022-11-16|44051|421
2022-11-16|44169|29
2022-11-16|44409|13041
2022-11-16|44509|464
2022-11-16|44549|1
2022-11-16|44613|4796
2022-11-16|44618|5989
2022-11-16|44620|477
2022-11-16|44629|5752
2022-11-16|44649|5523
2022-11-16|44889|9
2022-11-16|44950|105
2022-11-16|45169|7786
2022-11-16|45300|3245
2022-11-16|45309|51
2022-11-16|45329|1890
2022-11-16|45333|3140
2022-11-16|45335|16162
2022-11-16|45337|2751
2022-11-16|45339|3088
2022-11-16|45341|22
2022-11-16|45343|7515
2022-11-16|45345|770
2022-11-16|45347|15401
2022-11-16|45349|6185
2022-11-16|45351|9443
2022-11-16|45353|58
2022-11-16|45355|280
2022-11-16|45357|3
2022-11-16|45359|48
2022-11-16|45371|51
2022-11-16|45433|13
2022-11-16|45489|1521
2022-11-16|45589|18856
2022-11-16|45629|760
2022-11-16|45631|1609
2022-11-16|45633|31
2022-11-16|45635|2
2022-11-16|45637|395
2022-11-16|45639|22
2022-11-16|45649|3
2022-11-16|45749|22
2022-11-16|45789|2
2022-11-16|45809|28
2022-11-16|45829|1547
2022-11-16|45849|3634
2022-11-16|45889|1082
2022-11-16|46071|2580
2022-11-16|46109|4247
2022-11-16|46111|1
2022-11-16|46189|6
2022-11-16|46191|1
2022-11-16|46229|33
2022-11-16|46231|37
2022-11-17|893|12591
2022-11-17|25609|42
2022-11-17|25814|182
2022-11-17|25828|19
2022-11-17|25857|59
2022-11-17|28428|957
2022-11-17|29158|518
2022-11-17|30088|130
2022-11-17|30710|384
2022-11-17|31036|28
2022-11-17|31192|15
2022-11-17|31581|409
2022-11-17|31690|139
2022-11-17|32680|123
2022-11-17|34394|5
2022-11-17|34409|2998
2022-11-17|34410|2
2022-11-17|34828|2485
2022-11-17|35008|62
2022-11-17|35014|56
2022-11-17|35020|55
2022-11-17|35357|55
2022-11-17|35887|4869
2022-11-17|36211|857
2022-11-17|36268|108
2022-11-17|36394|255
2022-11-17|36649|5
2022-11-17|36827|8728
2022-11-17|37448|2910
2022-11-17|37841|55
2022-11-17|37947|77
2022-11-17|38903|1295
2022-11-17|38904|56
2022-11-17|38941|1791
2022-11-17|38967|209
2022-11-17|39301|15
2022-11-17|39480|1
2022-11-17|39561|1
2022-11-17|39581|30
2022-11-17|39621|9426
2022-11-17|39681|703
2022-11-17|39682|2
2022-11-17|39721|420
2022-11-17|39923|529
2022-11-17|40101|1
2022-11-17|40221|169
2022-11-17|40341|5
2022-11-17|40545|15
2022-11-17|40562|35
2022-11-17|40651|59
2022-11-17|40675|704
2022-11-17|40771|24
2022-11-17|40953|4968
2022-11-17|40962|679
2022-11-17|41029|8102
2022-11-17|41034|40
2022-11-17|41051|16
2022-11-17|41129|1826
2022-11-17|41149|343
2022-11-17|41177|13873
2022-11-17|41181|21396
2022-11-17|41235|656
2022-11-17|41247|58
2022-11-17|41329|22643
2022-11-17|41529|61
2022-11-17|41589|34
2022-11-17|41633|27
2022-11-17|41636|94
2022-11-17|41638|15
2022-11-17|41644|179
2022-11-17|41650|164
2022-11-17|41652|79
2022-11-17|41675|4
2022-11-17|41794|34
2022-11-17|41798|38
2022-11-17|41802|17
2022-11-17|41804|26
2022-11-17|41809|33
2022-11-17|41909|2878
