CPC,Current_Service_Name,Current_TME_Category,Current_CHG_Price,Current_Free_Period,Upgrade_CPC,Service Name,TME Category,Subscription Model,Price,Found_in_Excel
4091,La Gruta del Sexo,Light,2.5,0,4091,La Gruta del Sexo,Light,PPD,2.5,True
8778,Desc. Gameloft,Games,3.0,0,8778,Desc. Gameloft,Games,PPD,3.0,True
18965,Desc. Gamel5,Games,5.0,0,18965,Desc. Gamel5,Games,PPD,5.0,True
19168,DescFondosPrivate,Light,3.0,0,19168,DescFondosPrivate,Light,PPD,3.0,True
20508,Desc.Play2Me1,Games,1.0,0,20508,Desc.Play2Me1,Games,PPD,1.0,True
20510,Desc.Play2Me1.5,Games,1.5,0,20510,Desc.Play2Me1.5,Games,PPD,1.5,True
20512,Desc.Play2Me2,Games,2.0,0,20512,Desc.Play2Me2,Games,PPD,2.0,True
20514,Desc.Play2Me3,Games,3.0,0,20514,Desc.Play2Me3,Games,PPD,3.0,True
20516,Desc.Play2Me4,Games,4.0,0,20516,Desc.Play2Me4,Games,PPD,4.0,True
20518,Desc.Play2Me5,Games,5.0,0,20518,Desc.Play2Me5,Games,PPD,5.0,True
22108,Fondos,Images,1.5,0,22108,Fondos,Images,PPD,1.5,True
22110,Videos,Images,2.0,0,22110,Videos,Images,PPD,2.0,True
22112,Animaciones,Images,1.5,0,22112,Animaciones,Images,PPD,1.5,True
22118,Fondos Branded,Images,1.5,0,22118,Fondos Branded,Images,PPD,1.5,True
22120,Videos Branded,Images,2.0,0,22120,Videos Branded,Images,PPD,2.0,True
22122,Animaciones Brand,Images,1.5,0,22122,Animaciones Brand,Images,PPD,1.5,True
22716,Mundo DV Porno,Light,5.0,0,22716,Mundo DV Porno,Light,PPD,5.0,True
22718,Porno Profesional,Light,3.0,0,22718,Porno Profesional,Light,PPD,3.0,True
23832,Divinas mamás,Light,3.0,0,23832,Divinas mamás,Light,PPD,3.0,True
23837,Corridas,Light,3.0,0,23837,Corridas,Light,PPD,3.0,True
23841,Hardcore,Light,3.0,0,23841,Hardcore,Light,PPD,3.0,True
23845,Hentai,Light,3.0,0,23845,Hentai,Light,PPD,3.0,True
23849,Lesbianas,Light,3.0,0,23849,Lesbianas,Light,PPD,3.0,True
23853,Cochinas Latinas,Light,3.0,0,23853,Cochinas Latinas,Light,PPD,3.0,True
23923,Casadas,Light,2.0,0,23923,Casadas,Light,PPD,2.0,True
23925,Casadas,Light,3.0,0,23925,Casadas,Light,PPD,3.0,True
23927,Jovencitas,Light,2.0,0,23927,Jovencitas,Light,PPD,2.0,True
23929,Jovencitas,Light,3.0,0,23929,Jovencitas,Light,PPD,3.0,True
23931,Mamadas,Light,2.0,0,23931,Mamadas,Light,PPD,2.0,True
23933,Mamadas,Light,3.0,0,23933,Mamadas,Light,PPD,3.0,True
23935,Ibericas,Light,2.0,0,23935,Ibericas,Light,PPD,2.0,True
23937,Putas,Light,3.0,0,23937,Putas,Light,PPD,3.0,True
23939,Sexo en publico,Light,2.0,0,23939,Sexo en publico,Light,PPD,2.0,True
23941,Follamigos,Light,3.0,0,23941,Follamigos,Light,PPD,3.0,True
24981,Gay,Light,2.0,0,24981,Gay,Light,PPD,2.0,True
24983,Gay,Light,3.0,0,24983,Gay,Light,PPD,3.0,True
24985,Maduras,Light,2.0,0,24985,Maduras,Light,PPD,2.0,True
24987,Maduras,Light,3.0,0,24987,Maduras,Light,PPD,3.0,True
25069,Abuelos Cachondos,Light,3.0,0,25069,Abuelos Cachondos,Light,PPD,3.0,True
25126,Webcams,Light,1.5,0,25126,Webcams,Light,PPD,1.5,True
25410,webcams,Light,2.5,0,25410,webcams,Light,PPD,2.5,True
25130,Oriental,Light,1.5,0,25130,Oriental,Light,PPD,1.5,True
25409,Oriental,Light,2.5,0,25409,Oriental,Light,PPD,2.5,True
25134,Culazos,Light,1.5,0,25134,Culazos,Light,PPD,1.5,True
25408,Culazos,Light,2.5,0,25408,Culazos,Light,PPD,2.5,True
25138,Chicas humedas,Light,1.5,0,25138,Chicas humedas,Light,PPD,1.5,True
25407,Chicas humedas,Light,2.5,0,25407,Chicas humedas,Light,PPD,2.5,True
25142,Jovencitas,Light,1.5,0,25142,Jovencitas,Light,PPD,1.5,True
25707,Jovencitas,Light,2.5,0,25707,Jovencitas,Light,PPD,2.5,True
25146,Porn Stars,Light,1.5,0,25146,Porn Stars,Light,PPD,1.5,True
25405,Porn Stars,Light,2.5,0,25405,Porn Stars,Light,PPD,2.5,True
25150,Stripers,Light,1.5,0,25150,Stripers,Light,PPD,1.5,True
25404,Stripers,Light,2.5,0,25404,Stripers,Light,PPD,2.5,True
25162,Chicas Malas,Light,1.5,0,25162,Chicas Malas,Light,PPD,1.5,True
25401,Latinas,Light,2.5,0,25401,Latinas,Light,PPD,2.5,True
25172,Macizos,Light,1.5,0,25172,Macizos,Light,PPD,1.5,True
25399,Macizos,Light,2.5,0,25399,Macizos,Light,PPD,2.5,True
25398,Wicked,Light,2.5,0,25398,Wicked,Light,PPD,2.5,True
25414,Tattoo,Light,1.5,0,25414,Tattoo,Light,PPD,1.5,True
25415,Tattoo,Light,2.5,0,25415,Tattoo,Light,PPD,2.5,True
25417,Lencería,Light,2.5,0,25417,Lencería,Light,PPD,2.5,True
25419,Lencería,Light,1.5,0,25419,Lencería,Light,PPD,1.5,True
25422,MOVIREAL-20-UNIVE,Music,1.99,0,25422,MOVIREAL-20-UNIVE,Music,PPD,1.99,True
25424,MOVIREAL-20-SONY,Music,1.99,0,25424,MOVIREAL-20-SONY,Music,PPD,1.99,True
25428,MOVIREAL-20-WARNE,Music,1.99,0,25428,MOVIREAL-20-WARNE,Music,PPD,1.99,True
25432,MOVIREAL-20-GENX,Music,1.99,0,25432,MOVIREAL-20-GENX,Music,PPD,1.99,True
25437,Morenazas,Light,2.5,0,25437,Morenazas,Light,PPD,2.5,True
25442,Morenazas,Light,1.5,0,25442,Morenazas,Light,PPD,1.5,True
25452,Tonos de Humor,Music,2.0,0,25452,Tonos de Humor,Music,PPD,2.0,True
25454,Mulatas,Light,2.5,0,25454,Mulatas,Light,PPD,2.5,True
25456,Mulatas,Light,1.5,0,25456,Mulatas,Light,PPD,1.5,True
25458,Rubias,Light,2.5,0,25458,Rubias,Light,PPD,2.5,True
25460,Rubias,Light,1.5,0,25460,Rubias,Light,PPD,1.5,True
25462,Supertangas,Light,2.5,0,25462,Supertangas,Light,PPD,2.5,True
25464,Supertangas,Light,1.5,0,25464,Supertangas,Light,PPD,1.5,True
25712,Vecinitas,Light,2.5,0,25712,Vecinitas,Light,PPD,2.5,True
28347,Fondos Dinamicos,Images,2.0,0,28347,Fondos Dinamicos,Images,PPD,2.0,True
28767,Tera Patrick Soft,Light,1.5,0,28767,Tera Patrick Soft,Light,PPD,1.5,True
28769,Tera Patrick Soft,Light,2.5,0,28769,Tera Patrick Soft,Light,PPD,2.5,True
29148,En Familia!,Light,3.0,0,29148,En Familia!,Light,PPD,3.0,True
