CPC,Current_Service_Name,Current_TME_Category,Current_CHG_Price,Current_Free_Period,Upgrade_CPC,Service Name,TME Category,Subscription Model,Price,Found_in_Excel
12470,,Images,1.5,0,12470,,,,,False
22126,Fondos,Images,1.5,0,22126,,,,,False
22128,Videos,Images,2.0,0,22128,,,,,False
22130,Animaciones,Images,1.5,0,22130,,,,,False
22136,Fondos Branded,Images,1.5,0,22136,,,,,False
22138,Videos Branded,Images,2.0,0,22138,,,,,False
22140,Animaciones Brand,Images,1.5,0,22140,,,,,False
31248,,Movistar Recupera,0.5,0,31248,,,,,False
724,Fotos La gruta del Sexo,Light,2.5,0,724,,,,,False
726,Contactos La gruta del Sexo,Light,0.5,0,726,,,,,False
886,Fotos Chicas,Light,3.0,0,886,,,,,False
890,Fotos Chicas,Light,1.5,0,890,,,,,False
892,Fotos Chicas,Light,1.5,0,892,,,,,False
945,Chat Gruta del Sexo,Light,1.0,0,945,,,,,False
947,Fotos La gruta del Sexo,Light,2.5,0,947,,,,,False
1017,,Light,2.5,0,1017,,,,,False
1018,,Light,0.6,0,1018,,,,,False
1019,,Light,0.5,0,1019,,,,,False
1020,,Light,0.5,0,1020,,,,,False
1021,,Light,0.5,0,1021,,,,,False
1024,,Light,0.5,0,1024,,,,,False
1030,Relatos Eroticos,Light,1.5,0,1030,,,,,False
3525,Polifónicos,Music,1.5,0,3525,,,,,False
4090,Fotos,Light,2.0,0,4090,,,,,False
4092,Clips,Light,2.5,0,4092,,,,,False
4746,Chistes,Humor,0.15,0,4746,,,,,False
8623,El Mundo,News,0.3,0,8623,,,,,False
5471,Descarga lfp,Sports,1.5,0,5471,,,,,False
7417,Contactos Localiza,Chats,0.15,0,7417,,,,,False
8157,Bono 2,Music,3.0,0,8157,,,,,False
8780,Desc. Gameloft,Games,2.0,0,8780,,,,,False
8784,Desc. Gameloft,Games,1.0,0,8784,,,,,False
9197,Desc. Microjocs,Games,3.0,0,9197,,,,,False
9238,Desc.dbigames,Games,3.0,0,9238,,,,,False
10273,Chicos Malos,Images,1.5,0,10273,,,,,False
10379,Lo + De Lo Más,Music,2.0,0,10379,,,,,False
10883,Video Playboy,Light,2.5,0,10883,,,,,False
11732,California Sexy,Light,3.0,0,11732,,,,,False
11731,California Sexy,Light,3.0,0,11731,,,,,False
12899,m-g wap 2,Sports,1.0,0,12899,,,,,False
14887,Solo de Juegos,Games,2.0,0,14887,,,,,False
16297,Tonos,Humor,5.0,0,16297,,,,,False
16293,Tonos,Humor,5.0,0,16293,,,,,False
16228,Top Models,Light,1.5,0,16228,,,,,False
16725,La Gruta del Sexo,Light,3.0,0,16725,,,,,False
17589,Desc TopGam,Games,2.0,0,17589,,,,,False
17612,Tonos Padre USA,Humor,5.0,0,17612,,,,,False
17641,Tonos FOX,Humor,5.0,0,17641,,,,,False
17793,Chat Gay,Chats,1.0,0,17793,,,,,False
17795,Gmobile Dating,Light,1.0,0,17795,,,,,False
17798,Desc. Imag Vanity,Light,2.0,0,17798,,,,,False
