year_month,cpc,service_name,tme_category,cpcTotalRfdsAmount,cpcTotalRfdsCount,cpcTotalRfdsCountUU,RegularRfdsUU,AutomaticRfdsUU
2025-10,43617,Videos Tribuu,Free Time,13829.53,5599,1079,567,512
2025-10,44009,Abaco,Education,8113.08,4947,1262,517,745
2025-10,41949,Top Video,Free Time,7896.6,4815,380,380,0
2025-10,44051,Slow Life,Beauty and Health,11653.46,4718,958,505,453
2025-10,45589,Top Music Tv,Music,24102.68,2918,1797,948,849
2025-10,41177,Chef Book Recetas,Free Time,6703.58,2714,219,219,0
2025-10,41181, iTrip Viajes y +,Free Time,6387.42,2586,210,210,0
2025-10,43551,Movistar Juegos,Games,3870.4,2360,253,243,10
2025-10,45335,Noticias emocion,News,4385.36,2296,230,213,17
2025-10,41329,Zaaass Videos,Free Time,4711.22,2287,199,199,0
2025-10,46109,Avast CleanUp,Free Time,12017.12,2242,1026,1003,23
2025-10,42049,Fun Planet,Games,4437.7,2230,197,197,0
2025-10,45343,Deportes emocion,Sports,3529.68,1848,169,169,0
2025-10,43609,Comedy Factory,Free Time,4413.89,1787,156,156,0
2025-10,45300,E-Komics,Free Time,2242.34,1174,151,128,23
2025-10,44629,Life R Style,Beauty and Health,1905.68,1162,100,100,0
2025-10,45347,Yo Mujer y +,Beauty and Health,1058.3,1114,98,98,0
2025-10,43613,Videos Clap,Kids,2514.46,1018,83,83,0
2025-10,36827,Juegos en tu movil,Games,2981.03,997,79,79,0
2025-10,45629,Movistar Musica,Music,8036.98,973,424,424,0
2025-10,45351,El Mundo Al Revés,Free Time,1791.58,938,82,82,0
2025-10,42071,Astro Futuro,Free Time,1824.83,917,80,80,0
2025-10,42689,Caillou y Amigos,Kids,1804.56,876,81,81,0
2025-10,893,La Gruta del Sexo,Light,2595.32,868,68,68,0
2025-10,44409,Pink Crush,Light,2538.51,849,68,68,0
2025-10,45169,Decrash,Light,2224.56,744,55,55,0
2025-10,42911,Sexducate con LB,Beauty and Health,1203.76,734,69,69,0
2025-10,39621,Porno Gafas,Light,1898.65,635,52,52,0
2025-10,45849,Juegos Icaro,Games,4515.36,552,362,132,230
2025-10,41029,Orgasmatron,Light,1554.8,520,39,39,0
2025-10,44613,Soy Mujer,Beauty and Health,828.2,505,47,47,0
2025-10,34828,Pack Taquillas Salas X,Light,1109.29,371,26,26,0
2025-10,35887,Superescenas XXX,Light,1010.62,338,28,28,0
2025-10,45229,Nubico eBooks,Free Time,2744.34,318,143,143,0
2025-10,45333,Noticias emocion,News,413.27,289,21,21,0
2025-10,40953,Daily Diva,Beauty and Health,395.24,241,19,19,0
2025-10,45349,Cuidate Mejor,Beauty and Health,222.3,234,20,20,0
2025-10,37448,Juegos Gameloft ,Games,265.22,178,17,17,0
2025-10,44649,DocHuman,Education,223.04,136,13,13,0
2025-10,45339,Deportes emocion,Sports,154.44,108,9,9,0
2025-10,40675,Videos Lo + Mejor,Free Time,214.24,104,8,8,0
2025-10,45530,Movistar Apple Music,Music,917.08,101,49,49,0
2025-10,28428,Playhouse,Light,301.99,101,6,6,0
2025-10,42339,Pocoyo House,Kids,201.88,98,7,7,0
2025-10,38903,Tap To Fun Promo,Games,173.13,87,6,6,0
2025-10,45337,Deportes emocion,Sports,98.9,86,9,9,0
2025-10,46369,Abaco Kids,Education,121.36,74,7,7,0
2025-10,46189,Pocoyo House,Kids,470.34,67,25,25,0
2025-10,45889,Cuore Xtra,Beauty and Health,570.24,66,25,25,0
2025-10,38941,Rincon Prohibido,Light,72.57,59,6,6,0
2025-10,45633,Movistar Musica,Music,157.32,57,5,5,0
2025-10,36211,Susc Sem Play2Me,Games,167.44,56,6,6,0
2025-10,45329,Noticias emocion,News,60.95,53,6,6,0
2025-10,42076,Gamedroid,Games,85.28,52,6,6,0
2025-10,39681,Juegos GoPlay,Games,78.72,48,2,2,0
2025-10,44618,Kids Play,Kids,227.7,46,17,17,0
2025-10,41129,IntimaX,Light,137.54,46,4,4,0
2025-10,43571,EnglishPills,Education,78.28,38,3,3,0
2025-10,41644,Natural Beauty,Beauty and Health,76.22,37,2,2,0
2025-10,38967,EnglishPills,Education,59.04,36,2,2,0
2025-10,40962,Edukidz,Kids,59.04,36,4,4,0
2025-10,45489,Kidjo,Kids,231.66,33,13,13,0
2025-10,41909,The Tourist,Free Time,67.98,33,3,3,0
2025-10,39923,Znack Video,Free Time,34.44,28,3,3,0
2025-10,31581,GayMobile+18,Light,77.74,26,1,1,0
2025-10,46469,Makers Club,Education,204.5,25,10,10,0
2025-10,40221,Video Horoscopo,Free Time,51.5,25,3,3,0
2025-10,45353,El Mundo Al Revés,Free Time,47.75,25,1,1,0
2025-10,39721,Game Shaker,Games,41.0,25,1,1,0
2025-10,30710,Movistar Juegos EA 099e,Games,23.76,24,1,1,0
2025-10,45829,TV Player Series,Free Time,118.8,20,8,8,0
2025-10,45637,Movistar Musica,Music,70.04,17,8,8,0
