date,service_name,tme_category,User_Base
2022-11-14,La Gruta del Sexo,Light,12819
2022-11-14,Porno Gafas,Light,9581
2022-11-14,Rincon Prohibido,Light,1836
2022-11-14,Tonos Reales,Music,183
2022-11-15,La Gruta del Sexo,Light,12717
2022-11-15,Porno Gafas,Light,9531
2022-11-15,Rincon Prohibido,Light,1812
2022-11-15,Tonos Reales,Music,183
2022-11-16,La Gruta del Sexo,Light,12595
2022-11-16,Porno Gafas,Light,9429
2022-11-16,Rincon Prohibido,Light,1796
2022-11-16,Tonos Reales,Music,183
2022-11-17,La Gruta del Sexo,Light,12591
2022-11-17,Porno Gafas,Light,9426
2022-11-17,Rincon Prohibido,Light,1791
2022-11-17,Tonos Reales,Music,182
2022-11-18,La Gruta del Sexo,Light,12611
2022-11-18,Porno Gafas,Light,9419
2022-11-18,Rincon Prohibido,Light,1779
2022-11-18,Tonos Reales,Music,182
2022-11-19,La Gruta del Sexo,Light,12663
2022-11-19,Porno Gafas,Light,9445
2022-11-19,Rincon Prohibido,Light,1775
2022-11-19,Tonos Reales,Music,182
2022-11-20,La Gruta del Sexo,Light,12708
2022-11-20,Porno Gafas,Light,9469
2022-11-20,Rincon Prohibido,Light,1773
2022-11-20,Tonos Reales,Music,182
2022-11-21,La Gruta del Sexo,Light,12698
2022-11-21,Porno Gafas,Light,9457
2022-11-21,Rincon Prohibido,Light,1770
2022-11-21,Tonos Reales,Music,182
2022-11-22,La Gruta del Sexo,Light,12685
2022-11-22,Porno Gafas,Light,9448
2022-11-22,Rincon Prohibido,Light,1768
2022-11-22,Tonos Reales,Music,182
2022-11-23,La Gruta del Sexo,Light,12672
2022-11-23,Porno Gafas,Light,9442
2022-11-23,Rincon Prohibido,Light,1764
2022-11-23,Tonos Reales,Music,182
2022-11-24,La Gruta del Sexo,Light,12664
2022-11-24,Porno Gafas,Light,9453
2022-11-24,Rincon Prohibido,Light,1764
2022-11-24,Tonos Reales,Music,182
2022-11-25,La Gruta del Sexo,Light,12643
2022-11-25,Porno Gafas,Light,9479
2022-11-25,Rincon Prohibido,Light,1761
2022-11-25,Tonos Reales,Music,182
2022-11-26,La Gruta del Sexo,Light,12671
2022-11-26,Porno Gafas,Light,9538
2022-11-26,Rincon Prohibido,Light,1759
2022-11-26,Tonos Reales,Music,182
2022-11-27,La Gruta del Sexo,Light,12728
2022-11-27,Porno Gafas,Light,9596
2022-11-27,Rincon Prohibido,Light,1757
2022-11-27,Tonos Reales,Music,182
2022-11-28,La Gruta del Sexo,Light,12753
2022-11-28,Porno Gafas,Light,9618
2022-11-28,Rincon Prohibido,Light,1753
2022-11-28,Tonos Reales,Music,182
2022-11-29,La Gruta del Sexo,Light,12781
2022-11-29,Porno Gafas,Light,9684
2022-11-29,Rincon Prohibido,Light,1748
2022-11-29,Tonos Reales,Music,182
2022-11-30,La Gruta del Sexo,Light,12752
2022-11-30,Porno Gafas,Light,9722
2022-11-30,Rincon Prohibido,Light,1745
2022-11-30,Tonos Reales,Music,182
2022-12-01,La Gruta del Sexo,Light,12772
2022-12-01,Porno Gafas,Light,9776
2022-12-01,Rincon Prohibido,Light,1739
2022-12-01,Tonos Reales,Music,182
2022-12-02,La Gruta del Sexo,Light,12778
2022-12-02,Porno Gafas,Light,9740
2022-12-02,Rincon Prohibido,Light,1733
2022-12-02,Tonos Reales,Music,182
2022-12-03,La Gruta del Sexo,Light,12768
2022-12-03,Porno Gafas,Light,9731
2022-12-03,Rincon Prohibido,Light,1728
2022-12-03,Tonos Reales,Music,182
2022-12-04,La Gruta del Sexo,Light,12763
2022-12-04,Porno Gafas,Light,9735
2022-12-04,Rincon Prohibido,Light,1728
2022-12-04,Tonos Reales,Music,182
2022-12-05,La Gruta del Sexo,Light,12722
2022-12-05,Porno Gafas,Light,9698
2022-12-05,Rincon Prohibido,Light,1722
2022-12-05,Tonos Reales,Music,182
2022-12-06,La Gruta del Sexo,Light,12690
2022-12-06,Porno Gafas,Light,9674
2022-12-06,Rincon Prohibido,Light,1719
2022-12-06,Tonos Reales,Music,182
2022-12-07,La Gruta del Sexo,Light,12659
2022-12-07,Porno Gafas,Light,9626
2022-12-07,Rincon Prohibido,Light,1709
2022-12-07,Tonos Reales,Music,182
2022-12-08,La Gruta del Sexo,Light,12655
2022-12-08,Porno Gafas,Light,9597
2022-12-08,Rincon Prohibido,Light,1705
2022-12-08,Tonos Reales,Music,182
2022-12-09,La Gruta del Sexo,Light,12670
2022-12-09,Porno Gafas,Light,9609
2022-12-09,Rincon Prohibido,Light,1697
2022-12-09,Tonos Reales,Music,182
2022-12-10,La Gruta del Sexo,Light,12730
2022-12-10,Porno Gafas,Light,9628
2022-12-10,Rincon Prohibido,Light,1692
2022-12-10,Tonos Reales,Music,182
2022-12-11,La Gruta del Sexo,Light,12725
2022-12-11,Porno Gafas,Light,9665
2022-12-11,Rincon Prohibido,Light,1688
2022-12-11,Tonos Reales,Music,182
2022-12-12,La Gruta del Sexo,Light,12719
2022-12-12,Porno Gafas,Light,9663
2022-12-12,Rincon Prohibido,Light,1677
2022-12-12,Tonos Reales,Music,182
2022-12-13,La Gruta del Sexo,Light,12746
2022-12-13,Porno Gafas,Light,9659
2022-12-13,Rincon Prohibido,Light,1674
2022-12-13,Tonos Reales,Music,182
2022-12-14,La Gruta del Sexo,Light,12752
2022-12-14,Porno Gafas,Light,9643
2022-12-14,Rincon Prohibido,Light,1670
2022-12-14,Tonos Reales,Music,182
2022-12-15,La Gruta del Sexo,Light,12761
2022-12-15,Porno Gafas,Light,9652
2022-12-15,Rincon Prohibido,Light,1664
2022-12-15,Tonos Reales,Music,182
2022-12-16,La Gruta del Sexo,Light,12798
2022-12-16,Porno Gafas,Light,9650
2022-12-16,Rincon Prohibido,Light,1662
2022-12-16,Tonos Reales,Music,182
2022-12-17,La Gruta del Sexo,Light,12829
2022-12-17,Porno Gafas,Light,9672
2022-12-17,Rincon Prohibido,Light,1660
2022-12-17,Tonos Reales,Music,182
