Service Name,TME Category,Upgrade_CPC,CHG_Period,CHG_Price,CPCs
,Images,12470,0,1.5,{12470}
Fondos,Images,22126,0,1.5,{22126}
Videos,Images,22128,0,2.0,{22128}
Animaciones,Images,22130,0,1.5,{22130}
Fondos Branded,Images,22136,0,1.5,{22136}
Videos Branded,Images,22138,0,2.0,{22138}
Animaciones Brand,Images,22140,0,1.5,{22140}
,Movistar Recupera,31248,0,0.5,{31248}
Fotos La gruta del Sexo,Light,724,0,2.5,{724}
Contactos La gruta del Sexo,Light,726,0,0.5,{726}
Fotos Chicas,Light,886,0,3.0,{886}
Fotos Chicas,Light,890,0,1.5,{890}
Fotos Chicas,Light,892,0,1.5,{892}
Chat Gruta del Sexo,Light,945,0,1.0,{945}
Fotos La gruta del Sexo,Light,947,0,2.5,{947}
,Light,1017,0,2.5,{1017}
,Light,1018,0,0.6,{1018}
,Light,1019,0,0.5,{1019}
,Light,1020,0,0.5,{1020}
,Light,1021,0,0.5,{1021}
,Light,1024,0,0.5,{1024}
Relatos Eroticos,Light,1030,0,1.5,{1030}
Polifónicos,Music,3525,0,1.5,{3525}
Fotos,Light,4090,0,2.0,{4090}
La Gruta del Sexo,Light,4091,0,2.5,{4091}
Clips,Light,4092,0,2.5,{4092}
Chistes,Humor,4746,0,0.15,{4746}
El Mundo,News,8623,0,0.3,{8623}
Descarga lfp,Sports,5471,0,1.5,{5471}
Contactos Localiza,Chats,7417,0,0.15,{7417}
Bono 2,Music,8157,0,3.0,{8157}
Desc. Gameloft,Games,8778,0,3.0,{8778}
Desc. Gameloft,Games,8780,0,2.0,{8780}
Desc. Gameloft,Games,8784,0,1.0,{8784}
Desc. Microjocs,Games,9197,0,3.0,{9197}
Desc.dbigames,Games,9238,0,3.0,{9238}
Chicos Malos,Images,10273,0,1.5,{10273}
Lo + De Lo Más,Music,10379,0,2.0,{10379}
Video Playboy,Light,10883,0,2.5,{10883}
California Sexy,Light,11732,0,3.0,{11732}
California Sexy,Light,11731,0,3.0,{11731}
m-g wap 2,Sports,12899,0,1.0,{12899}
Solo de Juegos,Games,14887,0,2.0,{14887}
Tonos,Humor,16297,0,5.0,{16297}
Tonos,Humor,16293,0,5.0,{16293}
Top Models,Light,16228,0,1.5,{16228}
La Gruta del Sexo,Light,16725,0,3.0,{16725}
